brongemeente;SLA-sector;concentratie (µg/m³);relatieve bijdrage (%);doelgemeente;scenario;stof;datum export;applicatie versie;data versie
Loon op Zand;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hendrik-Ido-Ambacht;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bloemendaal;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Eersel;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hilversum;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dordrecht;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Sittard-Geleen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Buren;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Veldhoven;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Maasdriel;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nunspeet;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Vijfheerenlanden;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Raalte;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Huizen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Maasdriel;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Meppel;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lelystad;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Almelo;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Halderberge;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Deurne;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bronckhorst;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Noordoostpolder;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oudewater;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Fryske Marren;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leidschendam-Voorburg;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bergeijk;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leusden;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Vught;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Westland;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kampen;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Altena;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Steenwijkerland;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nieuwegein;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oss;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Altena;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Albrandswaard;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wijk bij Duurstede;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heerde;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
West Betuwe;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Venlo;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Waddinxveen;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
West Betuwe;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rijswijk;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Woerden;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Maashorst;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Koggenland;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Landsmeer;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Midden-Delfland;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ommen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Someren;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Middelburg;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Goes;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Assen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Best;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bunnik;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Apeldoorn;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leidschendam-Voorburg;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hollands Kroon;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Montferland;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heemskerk;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nijmegen;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Terneuzen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Borger-Odoorn;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Cranendonck;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hattem;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Waddinxveen;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiderdorp;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leeuwarden;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ermelo;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hof van Twente;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ommen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Neder-Betuwe;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Utrecht;Luchtvaart & rail;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Steenbergen;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nunspeet;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Barendrecht;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Altena;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heusden;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oss;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Uitgeest;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Reusel-De Mierden;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Delft;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Raalte;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
IJsselstein;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wassenaar;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Midden-Groningen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tubbergen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Stede Broec;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wageningen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Goes;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Buren;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaanstad;Luchtvaart & rail;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Geldrop-Mierlo;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bernheze;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
West Betuwe;Luchtvaart & rail;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tynaarlo;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Landsmeer;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Meppel;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Geertruidenberg;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dongen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Schouwen-Duiveland;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiderdorp;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wormerland;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoogeveen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Buren;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Arnhem;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leidschendam-Voorburg;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Papendrecht;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zwolle;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wageningen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Son en Breugel;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nijmegen;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nijkerk;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Eersel;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Steenbergen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gilze en Rijen;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Voorne aan Zee;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Noordenveld;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Krimpen aan den IJssel;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Fryske Marren;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
West Betuwe;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Achtkarspelen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nijkerk;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hardenberg;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tiel;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Goeree-Overflakkee;Scheepvaart & visserij;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Halderberge;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Asten;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoogeveen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oost Gelre;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zuidplas;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Land van Cuijk;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Baarn;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tholen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Diemen;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Etten-Leur;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heiloo;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Schagen;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Aa en Hunze;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Renswoude;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Horst aan de Maas;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Het Hogeland;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Reimerswaal;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Koggenland;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bladel;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Epe;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gouda;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Overbetuwe;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Barneveld;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Peel en Maas;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bloemendaal;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Weert;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heeze-Leende;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Best;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gemert-Bakel;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Harderwijk;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Bilt;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Schouwen-Duiveland;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiderdorp;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rucphen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amersfoort;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Goeree-Overflakkee;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oisterwijk;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Utrechtse Heuvelrug;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bunschoten;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nuenen, Gerwen en Nederwetten;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Westerkwartier;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tilburg;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Schagen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zutphen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lopik;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Overbetuwe;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Overbetuwe;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Albrandswaard;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Edam-Volendam;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Eemsdelta;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Staphorst;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heerde;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Bosch;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zevenaar;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Vlissingen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Groningen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zutphen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Maasdriel;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Renswoude;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hardinxveld-Giessendam;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kampen;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Maassluis;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tholen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gorinchem;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bergen (NH.);HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Steenwijkerland;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hendrik-Ido-Ambacht;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Buren;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Apeldoorn;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Huizen;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ede;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gilze en Rijen;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tubbergen;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bergen (NH.);Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Roosendaal;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gilze en Rijen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Maashorst;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dijk en Waard;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oisterwijk;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Berkelland;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Beverwijk;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
